model,row_index,explained_label,explained_label_id,feature,weight
logistic_regression,17576,unsafe,1,sure,-0.08308154121280716
logistic_regression,17576,unsafe,1,topic,-0.06471006585871754
logistic_regression,17576,unsafe,1,discussing,-0.03856360973092916
logistic_regression,17576,unsafe,1,woman,0.03635076871686083
logistic_regression,17576,unsafe,1,interested,-0.02664797813259566
logistic_regression,17576,unsafe,1,RESPONSE,-0.02287946444543006
logistic_regression,17576,unsafe,1,flesh,0.021132917964807808
logistic_regression,17576,unsafe,1,eat,0.013937778589177515
logistic_regression,33144,unsafe,1,ll,0.038158994300145514
logistic_regression,33144,unsafe,1,men,-0.036084144245514295
logistic_regression,33144,unsafe,1,cops,0.03522647190103917
logistic_regression,33144,unsafe,1,women,-0.03465623402594627
logistic_regression,33144,unsafe,1,make,-0.02613154480073363
logistic_regression,33144,unsafe,1,strong,-0.025558292907353456
logistic_regression,33144,unsafe,1,judge,-0.018146090499819023
logistic_regression,33144,unsafe,1,RESPONSE,-0.012690937898224942
logistic_regression,25250,unsafe,1,value,0.04268834779899825
logistic_regression,25250,unsafe,1,ll,0.03447877915437145
logistic_regression,25250,unsafe,1,matter,0.028307167376498063
logistic_regression,25250,unsafe,1,feel,0.028180941406250225
logistic_regression,25250,unsafe,1,life,0.022684531259330887
logistic_regression,25250,unsafe,1,way,0.016852236217993685
logistic_regression,25250,unsafe,1,small,0.016391069016466985
logistic_regression,25250,unsafe,1,hope,0.012649782005454097
logistic_regression,32313,unsafe,1,judge,-0.08443232501039717
logistic_regression,32313,unsafe,1,based,-0.050690632662204166
logistic_regression,32313,unsafe,1,gossip,-0.04511553336883714
logistic_regression,32313,unsafe,1,won,-0.029257394547433566
logistic_regression,32313,unsafe,1,RESPONSE,-0.02269446315816724
logistic_regression,32313,unsafe,1,Miranda,-0.015868901721808926
logistic_regression,32313,unsafe,1,slut,-0.015752296919628806
logistic_regression,32313,unsafe,1,don,-0.00976269548595732
logistic_regression,15408,unsafe,1,earth,0.03349502846825417
logistic_regression,15408,unsafe,1,sure,-0.024636750381289672
logistic_regression,15408,unsafe,1,Isn,0.02279887930052105
logistic_regression,15408,unsafe,1,certainly,0.022299038696762974
logistic_regression,15408,unsafe,1,wall,0.020269218198675096
logistic_regression,15408,unsafe,1,ice,0.018245698614048716
logistic_regression,15408,unsafe,1,ve,-0.01113279336214593
logistic_regression,15408,unsafe,1,RESPONSE,-0.005348737029522937
